 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
           0,       40663,     24.7532,      3.9312,      2.7205,      1.0000,     27.1534,     79.1358,     93.3281,     96.4243,     87.5513,     99.2945,         NaN,     67.9181
           1,       40663,     24.9412,      3.5964,      2.9118,      1.0000,     22.6400,     79.0129,     93.1830,     96.3529,     87.4480,     99.4026,         NaN,     67.8462
           2,       40663,     24.8525,      3.9176,      2.7069,      1.0000,     27.1357,     79.1776,     93.3601,     96.4316,     87.5612,     99.2946,         NaN,     67.9406
           3,       40663,     24.9471,      3.6002,      2.9156,      1.0000,     22.6152,     79.0129,     93.1682,     96.2988,     87.4431,     99.4035,         NaN,     67.8397
           4,       40663,     24.6782,      5.9119,      2.6832,      1.0000,     41.5871,     79.0006,     93.0846,     96.1169,     87.3103,     98.9046,         NaN,     67.8274
           5,       40663,     24.7707,      3.7543,      2.9108,      1.0000,     24.3377,     79.0301,     93.1855,     96.2693,     87.3866,     99.3485,         NaN,     67.8320
           6,       40663,     24.7925,      5.5017,      2.6888,      1.0000,     39.0628,     79.0129,     93.1682,     96.2005,     87.3669,     98.9632,         NaN,     67.8415
           7,       40663,     24.8553,      3.8081,      2.8055,      1.0000,     25.4850,     79.0547,     93.2814,     96.3702,     87.5218,     99.2801,         NaN,     67.8809
           8,       40663,     25.1147,      5.2815,      2.7011,      1.0000,     37.5794,     79.0079,     93.1633,     96.2054,     87.3669,     99.0006,         NaN,     67.8455
           9,       40663,     24.8666,      3.9310,      2.7816,      1.0000,     26.8071,     79.0448,     93.2740,     96.3874,     87.5144,     99.2379,         NaN,     67.8710
          10,       40663,     25.3783,      5.0742,      2.7016,      1.0000,     36.1862,     79.0202,     93.1977,     96.2570,     87.4087,     99.0326,         NaN,     67.8521
          11,       40663,     24.9620,      3.9760,      2.7654,      1.0000,     27.3084,     79.0940,     93.2666,     96.3751,     87.5046,     99.2130,         NaN,     67.8651
          12,       40663,     25.8503,      4.9539,      2.7036,      1.0000,     35.3375,     79.0620,     93.2150,     96.2693,     87.4259,     99.0492,         NaN,     67.8609
          13,       40663,     24.9128,      3.9981,      2.7631,      1.0000,     27.4767,     79.0670,     93.2764,     96.3751,     87.5341,     99.1969,         NaN,     67.8799
          14,       40663,     26.4648,      4.8444,      2.7165,      1.0000,     34.5135,     79.0743,     93.2199,     96.2841,     87.4333,     99.0667,         NaN,     67.8643
          15,       40663,     25.0295,      4.0353,      2.7513,      1.0000,     27.8573,     79.0424,     93.2887,     96.3652,     87.4948,     99.1808,         NaN,     67.8697
          16,       40663,     25.0278,      3.9308,      2.7201,      1.0000,     27.1261,     79.1088,     93.3035,     96.3997,     87.5144,     99.2945,         NaN,     67.8788
          17,       40663,     25.1936,      3.5968,      2.9122,      1.0000,     22.6036,     78.9612,     93.1732,     96.2915,     87.4358,     99.4039,         NaN,     67.8179
          18,       40663,     25.0052,      3.9290,      2.7183,      1.0000,     27.1484,     79.0989,     93.3281,     96.3948,     87.5317,     99.2947,         NaN,     67.9137
          19,       40663,     25.2427,      3.6035,      2.9190,      1.0000,     22.6129,     78.9907,     93.1486,     96.2644,     87.3866,     99.4021,         NaN,     67.7966
          20,       40663,     24.9557,      5.9492,      2.7206,      1.0000,     41.6244,     78.9637,     93.0699,     96.0874,     87.2857,     98.9036,         NaN,     67.7925
          21,       40663,     25.1031,      3.7982,      2.9547,      1.0000,     24.4217,     78.9538,     93.1486,     96.2275,     87.3694,     99.3487,         NaN,     67.7976
          22,       40663,     25.3800,      5.5327,      2.7200,      1.0000,     39.0903,     78.9907,     93.0772,     96.1464,     87.2980,     98.9631,         NaN,     67.7891
          23,       40663,     25.1204,      3.8231,      2.8205,      1.0000,     25.5288,     79.0473,     93.2469,     96.3284,     87.4603,     99.2803,         NaN,     67.8661
          24,       40663,     25.9151,      5.3099,      2.7418,      1.0000,     37.5663,     79.0129,     93.1338,     96.1906,     87.3398,     99.0020,         NaN,     67.8076
          25,       40663,     25.3639,      3.9293,      2.7799,      1.0000,     26.8340,     79.0743,     93.2789,     96.3726,     87.5071,     99.2381,         NaN,     67.8728
          26,       40663,     26.5113,      5.1408,      2.7440,      1.0000,     36.4138,     79.0227,     93.1461,     96.2128,     87.3595,     99.0281,         NaN,     67.8177
          27,       40663,     25.4831,      3.9766,      2.7660,      1.0000,     27.3136,     79.0424,     93.2863,     96.3997,     87.5218,     99.2135,         NaN,     67.8733
          28,       40663,     27.3578,      5.0170,      2.7425,      1.0000,     35.5853,     79.0596,     93.1904,     96.2349,     87.3939,     99.0489,         NaN,     67.8355
          29,       40663,     25.5645,      4.0134,      2.7661,      1.0000,     27.6043,     79.0571,     93.2961,     96.3751,     87.4948,     99.1979,         NaN,     67.8600
          30,       40663,     28.3278,      4.8833,      2.7555,      1.0000,     34.5597,     79.0252,     93.1805,     96.2374,     87.3890,     99.0671,         NaN,     67.8213
          31,       40663,     25.8493,      4.0271,      2.7431,      1.0000,     27.8567,     79.0743,     93.2986,     96.3800,     87.5120,     99.1791,         NaN,     67.8701
          32,       40663,     24.7858,      3.9354,      2.7247,      1.0000,     27.1589,     79.1506,     93.3256,     96.4071,     87.5513,     99.2961,         NaN,     67.9295
          33,       40663,     25.0576,      3.5886,      2.9040,      1.0000,     22.6015,     79.0079,     93.1855,     96.3210,     87.4431,     99.4052,         NaN,     67.8429
          34,       40663,     24.7910,      3.9218,      2.7111,      1.0000,     27.1520,     79.1530,     93.3428,     96.4267,     87.5563,     99.2961,         NaN,     67.9317
