 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
           0,       46245,      6.0275,      9.0559,      3.0162,      1.0000,     55.8712,     79.2194,     91.9018,     94.7367,     79.2194,     98.7847,         NaN,     79.2194
           1,       46247,      7.0706,      5.1406,      3.4334,      1.0000,     32.8960,     79.6289,     92.2244,     95.1370,     79.6289,     99.6562,         NaN,     79.6289
           2,       46212,      6.0184,      8.9972,      2.9415,      1.0000,     55.9448,     79.4144,     92.1146,     95.0121,     79.4144,     98.7817,         NaN,     79.4144
           3,       46199,      6.9482,      5.2531,      3.4690,      1.0000,     33.5870,     79.6467,     92.2899,     95.1428,     79.6467,     99.6407,         NaN,     79.6467
           4,       46216,      5.9951,     16.4684,      2.8167,      1.0000,     82.0956,     78.6697,     90.9057,     93.7013,     78.6697,     97.2542,         NaN,     78.6697
           5,       46235,      6.3798,      6.8759,      3.2227,      1.0000,     44.9406,     79.5999,     92.2094,     95.1163,     79.5999,     99.2646,         NaN,     79.5999
           6,       46207,      6.0026,     14.7120,      2.8775,      1.0000,     76.7500,     78.8062,     91.1290,     93.9317,     78.8062,     97.6194,         NaN,     78.8062
           7,       46267,      6.5473,      7.3601,      3.1830,      1.0000,     47.3445,     79.2422,     92.0310,     94.8797,     79.2422,     99.1592,         NaN,     79.2422
           8,       46228,      6.3943,     13.4265,      2.9760,      1.0000,     72.4503,     78.7791,     91.2066,     94.1183,     78.7791,     97.8974,         NaN,     78.7791
           9,       46254,      6.8093,      7.7277,      3.2492,      1.0000,     48.9430,     78.9705,     91.8342,     94.7594,     78.9705,     99.0985,         NaN,     78.9705
          10,       46230,      6.7142,     12.3396,      2.9973,      1.0000,     68.6904,     78.8146,     91.2741,     94.1878,     78.8146,     98.1203,         NaN,     78.8146
          11,       46233,      6.7978,      8.2820,      3.1233,      1.0000,     52.0750,     78.9414,     91.7570,     94.7440,     78.9414,     98.9618,         NaN,     78.9414
          12,       46241,      7.4700,     11.5268,      3.0255,      1.0000,     65.7074,     78.8781,     91.3908,     94.2951,     78.8781,     98.2894,         NaN,     78.8781
          13,       46238,      7.0419,      8.7684,      3.1376,      1.0000,     54.1973,     78.8853,     91.6714,     94.6191,     78.8853,     98.8667,         NaN,     78.8853
          14,       46221,      8.3464,     11.2529,      3.0494,      1.0000,     64.6298,     78.8430,     91.3308,     94.2753,     78.8430,     98.3492,         NaN,     78.8430
          15,       46273,      7.4677,      8.9116,      3.1456,      1.0000,     54.8283,     78.9791,     91.6344,     94.5152,     78.9791,     98.8395,         NaN,     78.9791
          16,       46253,      6.2716,      9.0305,      3.0242,      1.0000,     55.7619,     79.2576,     91.8340,     94.7398,     79.2576,     98.7914,         NaN,     79.2576
          17,       46223,      7.2477,      5.2034,      3.4632,      1.0000,     33.2485,     79.6292,     92.1965,     95.0587,     79.6292,     99.6495,         NaN,     79.6292
          18,       46205,      6.2388,      8.9508,      2.9590,      1.0000,     55.6265,     79.3334,     92.0593,     94.9161,     79.3334,     98.7945,         NaN,     79.3334
          19,       46244,      7.3238,      5.1681,      3.4608,      1.0000,     33.0497,     79.6730,     92.3406,     95.2145,     79.6730,     99.6562,         NaN,     79.6730
