 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
           0,       40663,     24.7094,      3.9265,      2.7158,      1.0000,     27.1619,     79.1407,     93.3428,     96.4218,     87.5784,     99.2962,         NaN,     67.9270
           1,       40663,     25.0016,      3.6016,      2.9170,      1.0000,     22.6381,     79.0571,     93.1707,     96.3111,     87.4382,     99.4043,         NaN,     67.8484
           2,       40663,     24.8341,      3.9226,      2.7119,      1.0000,     27.1404,     79.1653,     93.3527,     96.4169,     87.5686,     99.2958,         NaN,     67.9514
           3,       40663,     24.9440,      3.5966,      2.9120,      1.0000,     22.6124,     79.0350,     93.1977,     96.3210,     87.4210,     99.4046,         NaN,     67.8323
           4,       40663,     24.7280,      5.9224,      2.6814,      1.0000,     41.6628,     78.9809,     93.1018,     96.1242,     87.3103,     98.9030,         NaN,     67.8151
           5,       40663,     24.8646,      3.7608,      2.9173,      1.0000,     24.3284,     79.0448,     93.1756,     96.2423,     87.3890,     99.3488,         NaN,     67.8399
           6,       40663,     24.8610,      5.5234,      2.6861,      1.0000,     39.2116,     79.0498,     93.1313,     96.1759,     87.3448,     98.9604,         NaN,     67.8407
           7,       40663,     24.7433,      3.8024,      2.8120,      1.0000,     25.3744,     79.0571,     93.2666,     96.3628,     87.4923,     99.2831,         NaN,     67.8737
           8,       40663,     25.2247,      5.2641,      2.6958,      1.0000,     37.4922,     79.0670,     93.1732,     96.2054,     87.3915,     99.0028,         NaN,     67.8558
           9,       40663,     24.9450,      3.9327,      2.7833,      1.0000,     26.8175,     79.0473,     93.2912,     96.3898,     87.5144,     99.2404,         NaN,     67.8710
          10,       40663,     25.4456,      5.1090,      2.6997,      1.0000,     36.4287,     79.0252,     93.1805,     96.2374,     87.3890,     99.0295,         NaN,     67.8446
          11,       40663,     25.0029,      3.9759,      2.7775,      1.0000,     27.2182,     79.0743,     93.2691,     96.3849,     87.5144,     99.2167,         NaN,     67.8713
          12,       40663,     25.9249,      4.9744,      2.7119,      1.0000,     35.4473,     79.0768,     93.2100,     96.2546,     87.4185,     99.0487,         NaN,     67.8624
          13,       40663,     25.1018,      3.9908,      2.7557,      1.0000,     27.4663,     79.0670,     93.2789,     96.3923,     87.5267,     99.2001,         NaN,     67.8805
          14,       40663,     26.4981,      4.8959,      2.7191,      1.0000,     34.8682,     79.0768,     93.2199,     96.2939,     87.4554,     99.0611,         NaN,     67.8836
          15,       40663,     25.2671,      4.0222,      2.7504,      1.0000,     27.7580,     79.0866,     93.3133,     96.3874,     87.5317,     99.1845,         NaN,     67.8868
          16,       40663,     25.0536,      3.9265,      2.7158,      1.0000,     27.1565,     79.1063,     93.3207,     96.4071,     87.5464,     99.2964,         NaN,     67.8906
          17,       40663,     25.2653,      3.5974,      2.9129,      1.0000,     22.6091,     78.9514,     93.1510,     96.2915,     87.4038,     99.4043,         NaN,     67.8081
          18,       40663,     25.1716,      3.9264,      2.7157,      1.0000,     27.1529,     79.1309,     93.3207,     96.4144,     87.5390,     99.2951,         NaN,     67.9152
          19,       40663,     25.3340,      3.6053,      2.9208,      1.0000,     22.6170,     78.9760,     93.1240,     96.2669,     87.3767,     99.4045,         NaN,     67.7951
          20,       40663,     25.0808,      5.9552,      2.7144,      1.0000,     41.6910,     79.0178,     93.0527,     96.0898,     87.2808,     98.9030,         NaN,     67.7935
          21,       40663,     25.0143,      3.8113,      2.9679,      1.0000,     24.4676,     78.9366,     93.1141,     96.1980,     87.3423,     99.3496,         NaN,     67.7864
          22,       40663,     25.4724,      5.5556,      2.7307,      1.0000,     39.1983,     78.9858,     93.1191,     96.1464,     87.3202,     98.9611,         NaN,     67.8058
          23,       40663,     25.1636,      3.8053,      2.8149,      1.0000,     25.3793,     79.0252,     93.2568,     96.3652,     87.4776,     99.2828,         NaN,     67.8757
          24,       40663,     25.9343,      5.3310,      2.7385,      1.0000,     37.7246,     79.0325,     93.1412,     96.1931,     87.3472,     99.0000,         NaN,     67.8087
          25,       40663,     25.5517,      3.9317,      2.7822,      1.0000,     26.8128,     79.1137,     93.2838,     96.4021,     87.5095,     99.2394,         NaN,     67.8774
          26,       40663,     26.6385,      5.1408,      2.7440,      1.0000,     36.4189,     79.0129,     93.1461,     96.2079,     87.3743,     99.0309,         NaN,     67.8115
          27,       40663,     25.5107,      3.9667,      2.7683,      1.0000,     27.1751,     79.0743,     93.2740,     96.3628,     87.5144,     99.2173,         NaN,     67.8779
          28,       40663,     27.4024,      5.0166,      2.7543,      1.0000,     35.5144,     79.0227,     93.1535,     96.2374,     87.3546,     99.0487,         NaN,     67.8054
